mag,ra,dec
7.52,0.046118,35.815467
7.74,0.046222,80.282283
8.85,0.046298,-40.983229
9.01,0.046417,3.860416
7.17,0.046437,2.130155
9.04,0.046674,-15.040543
10.3,0.046696,-24.945298
9.86,0.046952,80.286579
7.64,0.04735,28.251905
8.27,0.047599,47.252268
8.44,0.047724,30.336542
9.58,0.04824,-58.781398
8.43,0.048674,-30.149773
8.49,0.048797,71.358516
9.64,0.048906,70.238
9.17,0.049098,71.36803
8.09,0.049191,-0.893874
9,0.049284,-39.527412
6.25,0.049301,-20.045882
8.56,0.049546,3.381932
10.81,0.049582,9.795231
8.76,0.050135,9.138279
7.76,0.050148,-34.743939
7.82,0.050224,-60.691901
7.9,0.050591,39.995144
8.52,0.050916,-7.815517
9.73,0.050941,56.733298
9.19,0.051029,8.261293
8.1,0.051044,8.270683
8.75,0.051615,31.870083
8.14,0.05162,52.465128
8.65,0.051689,-25.261114
10.3,0.051975,29.485979
6.46,0.052181,-24.145145
6.73,0.052317,42.747908
7.96,0.052977,-24.588258
9.53,0.053107,54.515774
8.87,0.053537,-31.212384
6.59,0.053698,17.552268
8.65,0.053727,48.722294
9.64,0.054478,-55.40507
9.15,0.054702,-23.615434
9.04,0.055061,32.845864
12.04,0.055279,4.686928
8.42,0.055472,38.244012
8.09,0.055689,-11.945367
9.06,0.055692,-64.476095
8.09,0.05569,-4.145757
8.18,0.05612,59.078605
8.77,0.056135,23.575034
7.36,0.056667,73.174497
9.16,0.056855,-35.965164
8.82,0.057037,-26.415185
11.14,0.057124,-46.830972
6.24,0.057143,63.64052
9.44,0.057174,-29.000663
7.49,0.057203,20.66553
6.96,0.057297,-36.251193
7.94,0.057541,55.5509
8.69,0.057585,62.357806
8.15,0.057749,53.312689
8.45,0.058413,55.059961
7.92,0.058428,19.381496
7.45,0.058475,12.356821
9.01,0.05856,-65.827505
8.55,0.058721,-35.60223
9.23,0.058756,78.717826
9.16,0.059057,-13.227292
7.9,0.059267,42.352106
8.68,0.060158,-51.8091
7.78,0.060289,-31.094137
8.21,0.060305,-28.417137
8.11,0.060582,70.306028
8.29,0.061064,-57.164462
7.89,0.06114,3.906973
9.67,0.061246,-41.095885
8.24,0.061517,-28.396196
6.8,0.061626,48.436907
8.18,0.061801,13.365166
8.44,0.06225,-63.600667
4.55,0.06233,-17.335988
7.45,0.06234,42.023522
6.31,0.064342,66.712183
